manuscript_panel,measurement,unit,value,genotype_raw,rnai,replicate_id
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.2761022089446343,Complex V RNAi,Complex V,b28
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.828757934135698,Complex V RNAi,Complex V,b29
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0393487521367748,Complex V RNAi,Complex V,b29
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.1113450608122175,Complex V RNAi,Complex V,b30
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.1384983098683152,Complex V RNAi,Complex V,b30
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0180649884467865,Complex V RNAi,Complex V,b31
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9981475012117704,Complex V RNAi,Complex V,b31
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.2150408974657343,Complex V RNAi,Complex V,b31
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9620572249064197,Complex V RNAi,Complex V,b31
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9351360753531808,Complex V RNAi,Complex V,b32
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9275605390021404,Complex V RNAi,Complex V,b32
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8497928488741678,Complex V RNAi,Complex V,b32
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9693336639599616,Complex V RNAi,Complex V,b33
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.999410888196404,Complex V RNAi,Complex V,b33
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8147793228398112,Complex V RNAi,Complex V,b34
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7751764478726387,Complex V RNAi,Complex V,b34
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9374331425979688,Complex V RNAi,Complex V,b34
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8488381303005528,Complex V RNAi,Complex V,b34
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8781137737796995,Complex V RNAi,Complex V,b34
